gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2844916342	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/181945180	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.802717	13.052537	48.0						2019-10-02T00:00:00	2	10	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.181945180				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:24.147Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844868631	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172113231	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Puch bei Hallein		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.713253	13.10648	25.0						2019-05-11T00:00:00	11	5	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.172113231				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:14.239Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844828411	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/185804152	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Grödig		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.739011	12.993599	25.0						2020-02-21T00:00:00	21	2	2020	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.185804152				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:40.426Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844725437	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/169263279	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Oberalm		PRESENT	15	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.711117	13.108329	25.0						2019-03-30T00:00:00	30	3	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.169263279				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:44.963Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844627302	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/181945176	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.801477	13.052825	16.0						2019-10-02T00:00:00	2	10	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.181945176				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:40.045Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844484873	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/168456919	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg (Stadt)		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.782852	13.092116	25.0						2019-03-10T00:00:00	10	3	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.168456919				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:10.928Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844475507	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/175778525	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Kapuzinerberg		PRESENT	9	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.802086	13.051112	25.0						2019-07-05T00:00:00	5	7	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.175778525				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:05.746Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844437180	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/170004692	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg - Bluntautal		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.57896	13.144182	10.0						2019-04-10T00:00:00	10	4	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.170004692				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:26.764Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844401592	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/168458916	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Salzburg (Stadt)		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.7822	13.09306	25.0						2019-03-10T00:00:00	10	3	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.168458916				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:59.712Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844399478	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/174468326	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Sankt Gilgen		PRESENT	8	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.799553	13.438354	25.0						2019-06-14T00:00:00	14	6	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.174468326				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:38.329Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2844392817	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/169263274	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra salamandra		SPECIES	Salamandra salamandra (Linnaeus, 1758)	Salamandra salamandra		AT	Austria - Oberalm		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	47.711361	13.105537	25.0						2019-03-30T00:00:00	30	3	2019	2431776	2431776	HUMAN_OBSERVATION		Observations	OBS.169263274				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:06:47.898Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
