Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
121749,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,"Lewis, C.S.",,"=""000720230X""","=""9780007202300""",2,3.97,HarperCollins Publishers,Hardcover,240,2005,1951,2007/08/01,2012/02/10,,,read,,,,1,,,0,,,,,
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""006112527X""","=""9780061125270""",2,4.08,HarperCollins,Hardcover,248,2006,1952,2007/11/01,2012/02/10,,,read,,,,1,,,0,,,,,
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",4,4.22,HarperCollins Publishers,Paperback,206,2005,1950,2007/03/01,2012/02/10,,,read,,,,1,,,0,,,,,
65605,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,"Lewis, C.S.",,"=""0060764902""","=""9780060764906""",2,4.04,HarperCollins Publishers,Paperback,221,2005,1955,2007/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
188572,The Complete Sherlock Holmes,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""0553328255""","=""9780553328257""",4,4.47,Bantam Classics,Paperback,1796,1986,1927,2010/01/01,2012/02/12,,,read,,,,1,,,0,,,,,
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, Robert Heindel","=""0393978893""","=""9780393978896""",4,3.86,Norton,Paperback,464,2002,1847,2009/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
102868,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""1420925539""","=""9781420925531""",5,4.15,Digireads.com,Paperback,123,2005,1887,2010/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
2611805,La Emancipada,Miguel Riofrío,"Riofrío, Miguel",,"=""9871136331""","=""9789871136339""",1,3.58,Stockcero,Paperback,96,,1846,2008/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Richard Howard, Ivan Minatti, Nguyễn Thành Vũ","=""""","=""""",5,4.31,"Harcourt, Inc.",Paperback,93,2000,1943,2003/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
989560,"Resurrection (The Domain Trilogy, #2)",Steve Alten,"Alten, Steve",,"=""0312875584""","=""9780312875589""",4,3.56,Forge,Hardcover,,2004,2001,2011/07/01,2012/02/10,,,read,,,,1,,,0,,,,,
105741,"Domain (The Domain Trilogy, #1)",Steve Alten,"Alten, Steve",,"=""0812579569""","=""9780812579567""",4,3.52,Tor Books,Mass Market Paperback,461,2002,2001,2011/05/01,2012/02/10,,,read,,,,1,,,0,,,,,
10200182,Mi Planta de Naranja-Lima,José Mauro de Vasconcelos,"Vasconcelos, José Mauro de",Haydée M. Jofre Barroso,"=""950028359X""","=""9789500283595""",5,4.41,Editorial El Ateneo,Paperback,194,1976,1968,2007/02/01,2012/02/11,,,read,,,,1,,,0,,,,,
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Barbara Mooyaart-Doubleday","=""""","=""""",5,4.16,Bantam,Mass Market Paperback,283,1993,1947,2008/03/01,2012/02/11,,,read,,,,1,,,0,,,,,
3950967,The Tales of Beedle the Bard (Hogwarts Library),J.K. Rowling,"Rowling, J.K.",,"=""0747599874""","=""9780747599876""",5,4.05,Bloomsbury,Hardcover,109,2008,2008,2009/04/01,2012/02/11,,,read,,,,1,,,0,,,,,
521542,The Bible Code,Michael Drosnin,"Drosnin, Michael",,"=""0684849739""","=""9780684849737""",2,2.86,Atria Books,Paperback,264,1998,1997,2011/08/01,2012/02/12,,,read,,,,1,,,0,,,,,
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,"=""0140120831""","=""9780140120837""",0,4.02,Penguin Books,Paperback,263,1987,1985,,2012/02/11,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
16304,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0425200450""","=""9780425200452""",4,4.18,Berkley,Paperback,322,2004,1934,,2012/02/10,,,read,,,,1,,,0,,,,,
131359,"Death on the Nile (Hercule Poirot, #17)",Agatha Christie,"Christie, Agatha",,"=""0553119222""","=""9780553119220""",4,4.11,Bantam Books,Paperback,214,1978,1937,,2012/02/10,,,read,,,,1,,,0,,,,,
140278,"4:50 from Paddington (Miss Marple, #7)",Agatha Christie,"Christie, Agatha",,"=""1579126936""","=""9781579126933""",4,3.96,Black Dog & Leventhal Publishers,Hardcover,288,2007,1957,,2012/02/10,,,read,,,,1,,,0,,,,,
16363,"Appointment with Death (Hercule Poirot, #19)",Agatha Christie,"Christie, Agatha",,"=""0007119356""","=""9780007119356""",4,3.88,HarperCollins,Paperback,303,2001,1937,,2012/02/10,,,read,,,,1,,,0,,,,,
16297,"Cards on the Table (Hercule Poirot, #15)",Agatha Christie,"Christie, Agatha",,"=""0425205959""","=""9780425205952""",4,3.94,Berkley,Paperback,324,2005,1936,,2012/02/10,,,read,,,,1,,,0,,,,,
10943488,"Phobos (The Domain Trilogy, #3)",Steve Alten,"Alten, Steve",,"=""0765330334""","=""9780765330338""",0,3.49,Tor Books,Hardcover,384,2011,2009,,2012/02/10,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
105742,The Loch,Steve Alten,"Alten, Steve",,"=""0976165929""","=""9780976165927""",0,3.88,Tsunami Books,Paperback,541,2006,2005,,2012/02/10,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
5358,The Firm,John Grisham,"Grisham, John",Robin Waterfield,"=""0582418275""","=""9780582418271""",0,4.03,Addison Wesley Publishing Company,Paperback,76,2000,1991,,2012/02/10,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
32542,"A Time to Kill (Jake Brigance, #1)",John Grisham,"Grisham, John",,"=""""","=""""",0,4.08,Dell,Paperback,515,2004,1989,,2012/02/10,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",5,4.14,Knopf,Hardcover,465,2008,2005,2012/01/01,2012/02/10,,,read,,,,1,,,0,,,,,
